Repository URL,Commit ID
"['https://github.com/vert-x3/vertx-web', 'ac8692c618d6180a9bc012a2ac8dbec821b1a97']","['https://github.com/vert-x3/vertx-web', 'd814d22ade14bafec47c4447a4ba9bff090f05e']"
"['https://gitbox.apache.org/repos/asf/struts.git', '352306493971e7d5a756d61780d57a76eb1f519a']","['https://gitbox.apache.org/repos/asf/struts.git', '6b8272ce47160036ed120a48345d9aa884477228']"
"['https://github.com/apache/nifi', '95746d346cddbd6134c4b28fdc39d5813a626f97']","['https://github.com/apache/nifi', 'd7c29f46378379fb596e4d1e59d1a3c41063db5b']"
"['https://github.com/spring-projects/spring-framework/', '002546b3e4b8d791ea6acccb81eb3168f51abb15']","['https://github.com/spring-projects/spring-framework/', '996f701a1916d10202c1d0d281f06ab1f2e1117e']"
"['https://github.com/spring-projects/spring-data-commons', '371f6590c509c72f8e600f3d05e110941607fba']","['https://github.com/spring-projects/spring-data-commons', '3d8576fe4e4e71c23b9e6796b32fd56e51182ee']"
"['https://github.com/apache/cxf', '2de7e14eb95626fffef6f61365186de9a1c9de3']","['https://github.com/apache/cxf', '8b40fdba289c62f4defae51c1f76860f0159c44']"
"['https://gitbox.apache.org/repos/asf/struts.git', '19494718865f2fb7da5ea363de3822f87fbda26']","['https://gitbox.apache.org/repos/asf/struts.git', '6dd6e5cfb7b5e020abffe7e8091bd63fe97c10a']"
"['https://github.com/spring-projects/spring-data-commons', 'ae1dd2741ce06d44a0966ecbd6f47beabde2b65']","['https://github.com/spring-projects/spring-data-commons', 'b1a20ae1e82a63f99b3afc6f2aaedb3bf4dc432']"
"['https://github.com/apache/cxf', 'dc6229b0272d39065393677ee607be9ca3b0d216']","['https://github.com/apache/cxf', '3c23fa3b3c24c328bbc6d71c509668cb10b0ea31']"
"['https://github.com/apache/directory-ldap-api', '075b70a733d7af150b3d85684149ff5f029f7fd']","['https://github.com/apache/directory-ldap-api', '5faa6a71606a22a7503d401911875ec3a355cac']"
"['https://github.com/apache/tika', '62926cae31a02d4f23d21148435804b96c543cc']","['https://github.com/apache/tika', '8a6a9e1344f5b10ebfa1a189dc3c30d0da2b9d4']"
"['http://svn.apache.org/repos/asf/tomcat', '1086349']","['http://svn.apache.org/repos/asf/tomcat', '1086352']"
"['https://github.com/spring-projects/spring-ws', '1f05307d61d525ed74a7d6d70a2a3b132948cdfc']","['https://github.com/spring-projects/spring-ws', 'd1c87ab466df43f4a615a6ecee6f0d7039cf4e4']"
"['https://github.com/dropwizard/dropwizard', '74e211514db951a67b0e9ff75b0102704d4b204']","['https://github.com/dropwizard/dropwizard', 'd5a512f7abf965275f2a6b913ac4fe778e42424']"
